Word;Count;Points
banca;32;0
comisiones;26;0
dinero;13;0
inversión;12;0
riesgo;12;0
tipos;12;0
bancos;9;0
familia;9;0
acciones;9;0
ingresos;9;0
negocio;8;0
quieres;8;0
comisión;7;0
número;7;0
cambio;7;0
sostenibilidad;7;0
cuentas;7;0
momento;7;0
rentabilidad;7;0
operación;7;0
interés;7;0
ventajas;7;0
cliente;7;0
presión;7;0
cajeros;7;0
entidad;6;0
tarjetas;6;0
capital;6;0
caso;6;0
canciones;6;0
banco;6;0
operaciones;6;0
relación;6;0
oficinas;6;0
mercados;6;0
entidades;6;0
quieras;5;0
saldo;5;0
coche;5;0
bolsa;5;0
crédito;5;0
teléfono;5;0
historia;5;0
cancelación;5;0
acceso;5;0
pago;5;0
hipoteca;5;0
planes;5;0
comportamiento;5;0
junio;5;0
recorte;5;0
calle;5;0
