Word;Count;Points
ventana;33;12
secciones;17;12
curso;16;12
becas;14;12
agosto;13;12
ciudadano;12;8
ayudas;12;8
tratamiento;10;8
página;8;8
canales;8;8
gestiones;7;6
medidas;7;6
materia;7;6
solicitud;7;6
asistencia;7;6
justicia;6;2
desarrollo;6;2
aplicaciones;6;2
requisitos;6;2
teléfonos;6;2
horas;6;2
corrupción;6;2
responsable;6;2
carácter;6;2
julio;6;2
contacto;6;2
publicaciones;5;2
licencias;5;2
mantenimiento;5;2
sede;5;2
plazo;5;2
viernes;5;2
lunes;5;2
atención;4;2
salas;4;2
estudiantes;4;2
licencia;4;2
transporte;4;2
estudios;4;2
número;4;2
becarios;4;2
magistrados;4;2
sitio;4;2
sala;4;2
presidente;4;2
tribunales;4;2
derecho;4;2
nacionalidad;4;2
vía;4;2
2019-mtc/17.02;4;2
