Word;Count;Points
buques;18;0
catamarán;13;0
buque;13;0
compañía;13;0
construcción;13;0
pasajeros;12;0
barcos;12;0
cruceros;10;0
metros;8;0
carga;8;0
puerto;7;0
flota;7;0
naviera;7;0
barco;5;0
proyectos;5;0
puertos;5;0
peso;5;0
agosto;5;0
mar;4;0
clase;4;0
junio;4;0
dwt;4;0
transporte;4;0
proceso;4;0
tamaño;4;0
capital;4;0
toneladas;4;0
pinar;4;0
sede;3;0
turismo;3;0
apuesta;3;0
rutas;3;0
islas;3;0
fast;3;0
fondo;3;0
techo;3;0
alquiler;3;0
veces;3;0
info@lanaval.es;3;0
construcciones;3;0
mes;3;0
gobierno;3;0
eslora;3;0
empleados;3;0
motores;3;0
compromiso;3;0
días;3;0
descargas;3;0
historia;3;0
viajeros;3;0
destinos;3;0
viajes;3;0
tripulantes;3;0
zona;3;0
