Name;Type;Web
Nissan;cars;https://www.nissan-global.com/EN/index.html
AlfaRomeo;cars;https://www.alfaromeo.com/
Wikipedia_Nissan;cars;https://en.wikipedia.org/wiki/Nissan
Toyota;cars;https://www.toyota.com/
Toyota_Accesory;cars;https://www.toyota.com/accessories/featured-accessory
Seat;cars;https://www.seat.com/
Seat_Electric;cars;https://www.seat.com/mobility/electric-vehicle-range.html
Seat_Charging;cars;https://www.seat.com/mobility/charging-at-home.html
Airbus;aeronautics;https://www.airbus.com/
Airbus_Helicopters;aeronautics;https://www.airbus.com/helicopters.html
Airbus_Space;aeronautics;https://www.airbus.com/space.html
Airbus_Defense;aeronautics;https://www.airbus.com/defence.html
Airbus_Newsroom;aeronautics;https://www.airbus.com/newsroom.html
ITPAERO;aeronautics;https://www.itpaero.com/en/
ITPAERO_About;aeronautics;https://www.itpaero.com/en/about-itp-aero/
ITPAERO_Innovation;aeronautics;https://www.itpaero.com/en/innovation-and-technology/
ITPAERO_Future;aeronautics;https://www.itpaero.com/en/innovation-and-technology/future-of-aviation/
Boeing_737;aeronautics;https://www.boeing.com/737-max-updates/
Lockheed_Martin;aeronautics;https://www.lockheedmartin.com/
Lockheed_Martin_What_We_Do;aeronautics;https://www.lockheedmartin.com/en-us/capabilities/aircraft.html
Agriculture;agriculture;https://en.wikipedia.org/wiki/Agriculture
Deree_Tractors;agriculture;https://www.deere.com/en/tractors/
Deree_Lawn_Tractors;agriculture;https://www.deere.com/en/mowers/lawn-tractors/
Deree_Ag_Turf;agriculture;https://www.deere.com/en/finance/financing/ag-turf/
Deree_Parts;agriculture;https://www.deere.com/en/parts-and-service/parts/
IBM;software;https://www.ibm.com/uk-en?p1=Search&p4=43700052448832375&p5=e&cm_mmc=Search_Google-_-1S_1S-_-EP_ES-_-ibm_e&cm_mmca7=71700000064785386&cm_mmca8=kwd-11656201&cm_mmca9=CjwKCAjw0On8BRAgEiwAincsHKDN-53MSXWqzvinpYH0GeWv4VuvEvNd83K8I14ne17TjrnX1D8eFBoCcMwQAvD_BwE&cm_mmca10=426614683813&cm_mmca11=e&gclid=CjwKCAjw0On8BRAgEiwAincsHKDN-53MSXWqzvinpYH0GeWv4VuvEvNd83K8I14ne17TjrnX1D8eFBoCcMwQAvD_BwE&gclsrc=aw.ds
TopTal;software;https://www.toptal.com/developers/blog
Bootsnipp;software;https://bootsnipp.com/
ZM;software;https://zaratemateo.com/en/quantitative-systems/
Microsoft;software;https://www.microsoft.com/en-us/
Microsoft_Xbox;software;https://www.xbox.com/en-us
EA;software;https://www.ea.com/sports
EA_About;software;https://www.ea.com/about
Quantum_Mads;finance;https://www.quantum-mads.com/
Bankia;finance;https://www.bankia.com/en/
Bankia_Shareholders;finance;https://www.bankia.com/en/shareholders-and-investors/economic-and-financial-information/financial-reports/
Santander;finance;https://www.santander.com/en/home
Santander_Press;finance;https://www.santander.com/en/press-room/press-releases/2020/10/annual-general-meeting
Santander_Consumer;finance;https://www.santanderconsumer.com/
Naval_Group;naval;https://www.naval-group.com/en
Naval_Group_Showcases;naval;https://www.naval-group.com/en/naval-group-showcases-its-products-services-and-latest-innovations-euronaval-online-794
Naval_Group_Innovation;naval;https://www.naval-group.com/en/open-innovation-48
Naval_Group_News;naval;https://www.naval-group.com/en/archives-news-stories-16
Navy;naval;https://www.navy.mil/
Navy_Press;naval;https://www.navy.mil/Press-Office/Press-Releases/
Boats;naval;https://www.boats.com/
HM;clothes;https://www2.hm.com/en_us/index.html
HM_2;clothes;https://www2.hm.com/en_us/sale/divided/view-all.html
Zara;clothes;https://www.zara.com/es/en/woman-new-in-l1180.html?v1=1549286
Zara_dresses;clothes;https://www.zara.com/es/en/woman-dresses-l1066.html?v1=1549249
Zara_tshirts;clothes;https://www.zara.com/es/en/woman-tshirts-l1362.html?v1=1549244
Zara_knitwear;clothes;https://www.zara.com/es/en/woman-knitwear-l1152.html?v1=1549245
Cosstores;clothes;https://www.cosstores.com/en_eur/women/jeans.html
Cosstores_2;clothes;https://www.cosstores.com/en_eur/kids-and-baby.html
Cosstores_3;clothes;https://www.cosstores.com/en_eur/kids-and-baby/all-kids/new-arrivals.html
Cosstores_Men;clothes;https://www.cosstores.com/en_eur/men.html
Massimo_Dutti;clothes;https://www.massimodutti.com/es/en/women/collection/leather/view-all-c1961030.html
Massimo_Dutti_2;clothes;https://www.massimodutti.com/es/en/women/collection/soft-%26-activewear/accessories-c1972514.html
Massimo_Dutti_3;clothes;https://www.massimodutti.com/es/en/women/collection/shirts-%26-blouses/view-all-c911173.html
BP;energy;https://www.bp.com/en_gb/united-kingdom/home.html
BP_fuels;energy;https://www.bp.com/en_gb/united-kingdom/home/products-and-services/bp-ultimate-fuels.html
BP_biofuels;energy;https://www.bp.com/en_gb/united-kingdom/home/products-and-services/bp-ultimate-fuels/european-biofuels-labelling-faqs.html
BP_and_cities;energy;https://www.bp.com/en_gb/united-kingdom/home/who-we-are/BP-in-the-UK/bp-and-cities.html
Gazprom;energy;https://www.gazprom.com/
Gazprom_projects;energy;https://www.gazprom.com/projects/
Nuscale;energy;https://www.nuscalepower.com/
Nuscale_tech;energy;https://www.nuscalepower.com/technology
